date,type,price,shares,capital
2020-08-26,BUY,75.18389129638672,9.0,323.34497833251953
2020-08-27,SELL,74.12626647949219,9.0,
2020-09-01,BUY,74.99996185302734,10.0,240.48175811767578
2020-09-03,SELL,74.65968322753906,10.0,
2020-09-15,BUY,78.95458221435547,8.0,355.44193267822266
2020-09-18,SELL,74.16693115234375,8.0,
2020-09-30,BUY,74.9434585571289,9.0,274.2862548828125
2020-10-02,SELL,74.69385528564453,9.0,
2020-10-20,BUY,81.59012603759766,9.0,212.21981811523438
2020-10-21,SELL,81.01696014404297,9.0,
2020-11-05,BUY,83.59610748291016,10.0,105.41138458251953
2020-11-16,TAKE_PROFIT,91.76805877685547,,
2020-12-15,BUY,97.14824676513672,7.0,343.0542449951172
2020-12-17,SELL,96.45342254638672,7.0,
2020-12-24,BUY,98.37505340576172,9.0,132.85272216796875
2020-12-29,SELL,97.99446105957031,9.0,
2020-12-30,BUY,101.09506225585938,8.0,206.04237365722656
2021-01-07,TAKE_PROFIT,112.72704315185547,,
2021-02-02,BUY,119.23461151123047,4.0,630.9202728271484
2021-02-03,SELL,118.36198425292969,4.0,
2021-02-08,BUY,123.050048828125,5.0,489.1179656982422
2021-02-18,SELL,124.98097229003906,5.0,
2021-02-19,BUY,126.8655014038086,5.0,479.69532012939453
2021-02-22,SELL,123.99694061279297,5.0,
2021-03-31,BUY,110.21650695800781,5.0,548.5974884033203
2021-04-13,SELL,113.002685546875,5.0,
2021-08-26,BUY,110.47093200683594,8.0,229.8434600830078
2021-09-17,SELL,110.59593963623047,8.0,
2021-10-14,BUY,105.72127532958984,10.0,57.398223876953125
2021-10-25,SELL,106.73564910888672,10.0,
2021-11-09,BUY,114.38109588623047,9.0,95.3248519897461
2021-11-26,SELL,109.97603607177734,9.0,
2022-01-04,BUY,125.81340026855469,6.0,330.22877502441406
2022-01-07,STOP_LOSS,116.47642517089844,,
2022-01-11,BUY,121.82395935058594,5.0,419.967529296875
2022-01-14,TAKE_PROFIT,132.66053771972656,,
2023-02-07,BUY,91.09773254394531,7.0,445.5860900878906
2023-02-10,SELL,91.8877944946289,7.0,
2023-02-13,BUY,92.60075378417969,8.0,347.99462127685547
2023-02-15,SELL,89.37309265136719,8.0,
2023-05-25,BUY,97.77037048339844,8.0,280.81639862060547
2023-06-21,SELL,98.85094451904297,8.0,
2023-11-14,BUY,96.69512176513672,9.0,201.36785888671875
2023-11-30,SELL,95.13096618652344,9.0,
2024-01-19,BUY,112.16886901855469,7.0,272.3644714355469
2024-02-07,TAKE_PROFIT,122.75715637207031,,
2024-02-15,BUY,126.73511505126953,6.0,371.2538757324219
2024-02-20,SELL,123.1009292602539,6.0,
2024-02-23,BUY,127.2262191772461,6.0,346.50213623046875
2024-02-27,SELL,126.30293273925781,6.0,
2024-02-29,BUY,126.38151550292969,6.0,346.0306396484375
2024-03-06,TAKE_PROFIT,139.05209350585938,,
2024-04-08,BUY,140.81991577148438,5.0,476.2436218261719
2024-04-15,SELL,138.2064666748047,5.0,
2024-05-15,BUY,153.43345642089844,5.0,400.1086730957031
2024-05-31,SELL,148.95608520507812,5.0,
2024-06-05,BUY,160.67218017578125,4.0,502.20037841796875
2024-06-17,TAKE_PROFIT,175.3460693359375,,
2024-07-03,BUY,180.53994750976562,4.0,481.42486572265625
2024-07-16,SELL,184.052001953125,4.0,
2024-08-23,BUY,169.44973754882812,3.0,709.2836608886719
2024-09-03,SELL,158.77503967285156,3.0,
2024-09-12,BUY,170.22410583496094,3.0,674.9364624023438
2024-09-18,SELL,166.10330200195312,3.0,
2024-10-14,BUY,190.85794067382812,4.0,409.8146057128906
2024-10-15,SELL,185.8136749267578,4.0,
2024-10-17,BUY,204.39205932617188,3.0,539.8931274414062
2024-10-29,SELL,195.55467224121094,3.0,
2024-11-08,BUY,199.78468322753906,3.0,527.2030944824219
2024-11-11,SELL,192.68499755859375,3.0,
2025-03-19,BUY,173.75999450683594,3.0,583.9781036376953
2025-03-27,SELL,168.24000549316406,3.0,
2025-04-02,BUY,170.38999938964844,3.0,577.5281219482422
2025-04-03,SELL,157.3800048828125,3.0,
2025-05-22,BUY,196.19000244140625,3.0,461.09812927246094
